229, Train Instance Accuracy: 0.416667, Test Instance Accuracy: 0.099034, Best Instance Accuracy: 0.352657
230, Train Instance Accuracy: 0.397727, Test Instance Accuracy: 0.099034, Best Instance Accuracy: 0.352657
231, Train Instance Accuracy: 0.382576, Test Instance Accuracy: 0.099034, Best Instance Accuracy: 0.352657
232, Train Instance Accuracy: 0.390152, Test Instance Accuracy: 0.113527, Best Instance Accuracy: 0.352657
233, Train Instance Accuracy: 0.348485, Test Instance Accuracy: 0.112923, Best Instance Accuracy: 0.352657
234, Train Instance Accuracy: 0.390152, Test Instance Accuracy: 0.112923, Best Instance Accuracy: 0.352657
235, Train Instance Accuracy: 0.337121, Test Instance Accuracy: 0.112923, Best Instance Accuracy: 0.352657
236, Train Instance Accuracy: 0.371212, Test Instance Accuracy: 0.169686, Best Instance Accuracy: 0.352657
237, Train Instance Accuracy: 0.363636, Test Instance Accuracy: 0.126812, Best Instance Accuracy: 0.352657
238, Train Instance Accuracy: 0.378788, Test Instance Accuracy: 0.141908, Best Instance Accuracy: 0.352657
239, Train Instance Accuracy: 0.348485, Test Instance Accuracy: 0.141908, Best Instance Accuracy: 0.352657
240, Train Instance Accuracy: 0.378788, Test Instance Accuracy: 0.112923, Best Instance Accuracy: 0.352657
241, Train Instance Accuracy: 0.340909, Test Instance Accuracy: 0.128019, Best Instance Accuracy: 0.352657
242, Train Instance Accuracy: 0.382576, Test Instance Accuracy: 0.155797, Best Instance Accuracy: 0.352657
243, Train Instance Accuracy: 0.348485, Test Instance Accuracy: 0.127415, Best Instance Accuracy: 0.352657
244, Train Instance Accuracy: 0.375000, Test Instance Accuracy: 0.128019, Best Instance Accuracy: 0.352657
245, Train Instance Accuracy: 0.356061, Test Instance Accuracy: 0.113527, Best Instance Accuracy: 0.352657
246, Train Instance Accuracy: 0.371212, Test Instance Accuracy: 0.113527, Best Instance Accuracy: 0.352657
247, Train Instance Accuracy: 0.386364, Test Instance Accuracy: 0.127415, Best Instance Accuracy: 0.352657
248, Train Instance Accuracy: 0.363636, Test Instance Accuracy: 0.128019, Best Instance Accuracy: 0.352657
249, Train Instance Accuracy: 0.424242, Test Instance Accuracy: 0.127415, Best Instance Accuracy: 0.352657
250, Train Instance Accuracy: 0.371212, Test Instance Accuracy: 0.141908, Best Instance Accuracy: 0.352657
251, Train Instance Accuracy: 0.367424, Test Instance Accuracy: 0.141908, Best Instance Accuracy: 0.352657
252, Train Instance Accuracy: 0.371212, Test Instance Accuracy: 0.099638, Best Instance Accuracy: 0.352657
253, Train Instance Accuracy: 0.363636, Test Instance Accuracy: 0.141908, Best Instance Accuracy: 0.352657
254, Train Instance Accuracy: 0.386364, Test Instance Accuracy: 0.127415, Best Instance Accuracy: 0.352657
255, Train Instance Accuracy: 0.333333, Test Instance Accuracy: 0.128019, Best Instance Accuracy: 0.352657
256, Train Instance Accuracy: 0.393939, Test Instance Accuracy: 0.099638, Best Instance Accuracy: 0.352657
257, Train Instance Accuracy: 0.390152, Test Instance Accuracy: 0.155797, Best Instance Accuracy: 0.352657
258, Train Instance Accuracy: 0.352273, Test Instance Accuracy: 0.127415, Best Instance Accuracy: 0.352657
259, Train Instance Accuracy: 0.412879, Test Instance Accuracy: 0.128019, Best Instance Accuracy: 0.352657
260, Train Instance Accuracy: 0.378788, Test Instance Accuracy: 0.141908, Best Instance Accuracy: 0.352657
261, Train Instance Accuracy: 0.352273, Test Instance Accuracy: 0.113527, Best Instance Accuracy: 0.352657
262, Train Instance Accuracy: 0.412879, Test Instance Accuracy: 0.099638, Best Instance Accuracy: 0.352657
